entity_name,mentioned_in_notes
own the data architecture,19ed6cfe-c999-8063-8ddc-ed38ef8160b0
Cursor,19ed6cfe-c999-8063-8ddc-ed38ef8160b0
Cory Malkin,19ed6cfe-c999-8063-8ddc-ed38ef8160b0
work email for the interview,439d2805-873d-4b4f-b6f7-8be1b5959157
traditional engineering roles,198d6cfe-c999-80f3-a31f-c9480663e8a7
Morgan,197d6cfe-c999-80cd-86c8-ee881ec97394
a team,196d6cfe-c999-805b-9360-d32e4499c205
Kaine Black,196d6cfe-c999-805b-9360-d32e4499c205
importance for next role,196d6cfe-c999-808b-859c-da965365f5ae
data space,196d6cfe-c999-808b-859c-da965365f5ae
Orion Health,198d6cfe-c999-80f3-a31f-c9480663e8a7
Data Software Developer,196d6cfe-c999-808b-859c-da965365f5ae
discuss in retrospective,193d6cfe-c999-81c1-9227-d6711feab977
field for bucket list wrapped,193d6cfe-c999-81c1-9227-d6711feab977
Emacs,193d6cfe-c999-81c1-9227-d6711feab977
pyterm,193d6cfe-c999-81c1-9227-d6711feab977
VS Code,193d6cfe-c999-81c1-9227-d6711feab977
field from recognized user table,193d6cfe-c999-81c1-9227-d6711feab977
log in and settings changes,193d6cfe-c999-81c1-9227-d6711feab977
bugs,193d6cfe-c999-81c1-9227-d6711feab977
Limit Reached Email translation,193d6cfe-c999-81c1-9227-d6711feab977
at home,193d6cfe-c999-81c1-9227-d6711feab977
Jamie Salmon,193d6cfe-c999-81c1-9227-d6711feab977
call,14fd6cfe-c999-81cc-8e5a-e0bca32f7100
untangling webhook stories,193d6cfe-c999-8161-bec0-f6cfadd71679
another beekeeper story to Monique Richard for code review,193d6cfe-c999-8161-bec0-f6cfadd71679
beekeeper stories to Jody Chambers for review,193d6cfe-c999-8161-bec0-f6cfadd71679
beekeeper stories,193d6cfe-c999-8161-bec0-f6cfadd71679
Nazma Panjwani for update on version info,193d6cfe-c999-8161-bec0-f6cfadd71679
disabled authentication option for first time MFA setup to Monique Richard,193d6cfe-c999-8161-bec0-f6cfadd71679
online instance for testing,193d6cfe-c999-81aa-91b8-e760f9d2abaf
Alaadin Addas,193d6cfe-c999-81aa-91b8-e760f9d2abaf
Tiffany,193d6cfe-c999-81aa-91b8-e760f9d2abaf
Sftp upgrade,193d6cfe-c999-81aa-91b8-e760f9d2abaf
backlog,193d6cfe-c999-81aa-91b8-e760f9d2abaf
epso,193d6cfe-c999-81aa-91b8-e760f9d2abaf
Liam Maloney,193d6cfe-c999-81aa-91b8-e760f9d2abaf
weirdness about screenshot,193d6cfe-c999-812e-8034-db12285f85ff
support ticket,193d6cfe-c999-81c1-9227-d6711feab977
transcription capabilities,193d6cfe-c999-812e-8034-db12285f85ff
pg_stat_statements,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
ALTER USER,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
nagios,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
bladmin,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
DO $$,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
blcorp_temp,192d6cfe-c999-8005-ae54-d4e0fa3caa8f
Audit logs on production servers,f621dc76-1550-4051-94e0-a1ab0714cb0d
someone instead of Bart,f621dc76-1550-4051-94e0-a1ab0714cb0d
answers,f621dc76-1550-4051-94e0-a1ab0714cb0d
We,f621dc76-1550-4051-94e0-a1ab0714cb0d
new Teams app,f621dc76-1550-4051-94e0-a1ab0714cb0d
still failing,18dd6cfe-c999-805c-8700-d5349f3f41b6
10 years,18ad6cfe-c999-806f-b84e-e35a286a6408
support,18ad6cfe-c999-806f-b84e-e35a286a6408
versions of dependencies to earlier versions,18ad6cfe-c999-806f-b84e-e35a286a6408
Docker Hub containers,18ad6cfe-c999-806f-b84e-e35a286a6408
Nazma Panjwani,193d6cfe-c999-8161-bec0-f6cfadd71679
through re-seller,18ad6cfe-c999-806f-b84e-e35a286a6408
directly,18ad6cfe-c999-806f-b84e-e35a286a6408
through AWS,18ad6cfe-c999-806f-b84e-e35a286a6408
transaction,18ad6cfe-c999-806f-b84e-e35a286a6408
licenses,18ad6cfe-c999-806f-b84e-e35a286a6408
$8850 USD for 30 VMs,18ad6cfe-c999-806f-b84e-e35a286a6408
$295/VM/year,18ad6cfe-c999-806f-b84e-e35a286a6408
migration already merged with release branch,193d6cfe-c999-8161-bec0-f6cfadd71679
pricing,18ad6cfe-c999-806f-b84e-e35a286a6408
ESM versions of images,18ad6cfe-c999-806f-b84e-e35a286a6408
Ubuntu images,18ad6cfe-c999-806f-b84e-e35a286a6408
Cloudwatch,d01917e0-ff74-4c10-909f-7eb74dde0234
Liam about career development meeting,d01917e0-ff74-4c10-909f-7eb74dde0234
career path document,d01917e0-ff74-4c10-909f-7eb74dde0234
msTeamsUserId=big-ol-fake-user-id-789&msTeamsKey=undefined,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
Most testing,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
7 or 8 years of experience in data analytics,196d6cfe-c999-805b-9360-d32e4499c205
iframe,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
Client screen,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
Admin page,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
first time visiting the site,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
quality,439d2805-873d-4b4f-b6f7-8be1b5959157
Admin URL,177d6cfe-c999-8061-a0d5-cb7a4b21f4c7
at the university in the lab after graduation,196d6cfe-c999-805b-9360-d32e4499c205
to be determined,53fd4265-7fd4-4888-9070-4e29e2df6af4
mailhog,53fd4265-7fd4-4888-9070-4e29e2df6af4
on QA,53fd4265-7fd4-4888-9070-4e29e2df6af4
emails,53fd4265-7fd4-4888-9070-4e29e2df6af4
for ADP,53fd4265-7fd4-4888-9070-4e29e2df6af4
customers in Canada,53fd4265-7fd4-4888-9070-4e29e2df6af4
