subject,relationship,object,note_id,note_title
user,restarts,nagios-nrpe-server,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
user,changes,python3 to python3-test,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
user,edits,/etc/nagios/nrpe.cfg,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
Marc,requested,being tagged in alerts-log,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
Marc,advised,reverting changes after test,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
Marc,instructed to,ssh to a celery server,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
Marc,recommended,changing nrpe config,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
Marc,suggested,method to generate a critical alert,56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
nrpe config,modified to check for,process containing 'python3-test',56fc9399-a462-492c-8d7b-19453c95b7a5,Test Critical Alert
user,re-checks,supervisor status,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,starts,all processes,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,executes,flushall command,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,accesses,redis-cli,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,stops,all processes,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,checks,supervisor status,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,activates,virtual environment,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,navigates_to,/home/bucketlist/blcorp/configs/staging/,fc0697d8-bd21-418f-8cd6-0f034cbec789,Clear Celery Jobs
user,configured,sftp2 in Django admin to use sftpmaster user,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,tested,paramiko connection to sftp2.bucketlist.org,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,executed,sudo tail -n 500 /var/log/auth.log | grep 'sshd',abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,checked,SSH auth logs,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,executed,"run_user_sync_task_on_company(company.pk, 'sftp_csv', 'pre_sync')",abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,imported,tasks from company.backends,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,queried,Company.objects.get(sub_domain='nationalfootballleague'),abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,imported,Company from company.models,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,executed,./manage.py shell,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,navigated to,blcorp-website/src,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,activated virtual environment,blcorp,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
user,SSHed into,webserver1,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
system,logged,Authentication failed,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
sftp2.bucketlist.org,is used for,SFTP2 by the webserver for user sync,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
key,was missing in,authorized_key of sftpmaster user,abf1d01d-1d94-4db5-9106-01ad549c169a,CSV Sync
termination of employees,triggered,increase in celery log size,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
termination of employees,generated,"243,738 tasks to delete notifications",5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
"243,738 tasks",caused,high memory usage in Redis,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
high memory usage in Redis,approached,100% memory usage threshold,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
each user,had,multiple outstanding notifications,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
outstanding notifications,required,individual deletion tasks,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
individual deletion tasks,led to,rate limiting,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
rate limiting,was implemented to,delay tasks,5a545d90-178b-4929-a547-490f5d53f309,Redis CPU
ssh,uses,specific key,37bc11c4-d4c2-4de6-a73c-f9ac6174571d,SSH with Specific Key
ssh,connects to,ubuntu@44.219.57.246,37bc11c4-d4c2-4de6-a73c-f9ac6174571d,SSH with Specific Key
ssh,ignores,default identities,37bc11c4-d4c2-4de6-a73c-f9ac6174571d,SSH with Specific Key
ssh,specifies,/dev/null as config file,37bc11c4-d4c2-4de6-a73c-f9ac6174571d,SSH with Specific Key
specific key,located at,~/.ssh/id_openvpn,37bc11c4-d4c2-4de6-a73c-f9ac6174571d,SSH with Specific Key
CrowdStrike,starts in,lab,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
CrowdStrike,moves to,qa,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
CrowdStrike,moves to,staging,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
CrowdStrike,moves to,dev,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
CrowdStrike,plans to implement,IPS by the end of calendar year,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
CrowdStrike,plans to implement,SIEM in the start of next year,e502d27e-0998-4c6d-a9d8-534f0ed66330,CrowdStrike
Terraform,was discussed,during the meeting,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Deployment,occurred on,August 16th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Deployment,occurred on,July 12th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Deployment,occurred on,August 2nd,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Alaadin,handled,two Jira tickets,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Alaadin,conducted,policy review,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Ansible,was discussed,during the meeting,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
DB migration,occurred on,August 9th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
DB migration,occurred on,August 10th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
CA Django,upgraded on,August 29th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
US Django,upgraded on,September 6th,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
HRIS,merged,with another system,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
SFTP,assigned to,Ptashi,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
SFTP,could be assigned to,another person,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
OpsGenie,was discussed,during the meeting,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Loki log encryption,had an issue,during the meeting,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Smoke test automation,was discussed,during the meeting,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
Engagement level setting,could be assigned to,another person,02031d3f-7329-4a36-a0ea-f1320afa2bd8,1on1 - September 6th
user,restarted,service,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
user,corrected,IP address in config file,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
user,restarted,nagios-nrpe-server service,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
user,edited,nrpe configuration file,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
systemd,started,Nagios Remote Plugin Executor,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
